AVRO-3516,2022-05-11,,,0
AVRO-3511,2022-05-05,[35],,0
AVRO-3495,2022-04-18,,,0
AVRO-3482,2022-04-08,,,0
AVRO-3481,2022-04-07,[35],,0
AVRO-3471,2022-03-24,,,0
AVRO-3468,2022-03-24,[35],,0
AVRO-3466,2022-03-21,[],,0
AVRO-3461,2022-03-20,,,0
AVRO-3460,2022-03-19,,,0
AVRO-3452,2022-03-17,,,0
AVRO-3448,2022-03-12,,,0
AVRO-3442,2022-03-09,,,0
AVRO-3440,2022-03-08,[35],,0
AVRO-3433,2022-03-06,[],,0
AVRO-3417,2022-02-25,,,0
AVRO-3413,2022-02-23,,,0
AVRO-3412,2022-02-22,[35],,0
AVRO-3410,2022-02-21,,,0
AVRO-3386,2022-02-10,,,0
AVRO-3382,2022-02-10,[35],,0
AVRO-3380,2022-02-09,[35],,0
AVRO-3375,2022-02-07,[35],,0
AVRO-3371,2022-02-05,[35],,0
AVRO-3370,2022-02-04,,,0
AVRO-3350,2022-02-01,[],,0
AVRO-3331,2022-01-28,,,0
AVRO-3322,2022-01-25,,,0
AVRO-3316,2022-01-20,,,0
AVRO-3273,2021-12-23,[35],,0
AVRO-3269,2021-12-13,,,0
AVRO-3268,2021-12-13,,,0
AVRO-3265,2021-12-12,[35],,0
AVRO-3263,2021-12-12,,,0
AVRO-3259,2021-11-25,[34],,0
AVRO-3258,2021-11-23,[35],,0
AVRO-3256,2021-11-18,[35],,0
AVRO-3252,2021-11-15,,,0
AVRO-3251,2021-11-09,[35],,0
AVRO-3240,2021-10-21,,,35
AVRO-3234,2021-10-15,,,35
AVRO-3232,2021-10-13,,,35
AVRO-3229,2021-10-11,[34],,35
AVRO-3226,2021-10-07,,35,35
AVRO-3225,2021-10-07,,35,35
AVRO-3218,2021-09-27,[34],,35
AVRO-3217,2021-09-24,[34],,35
AVRO-3216,2021-09-22,,,35
AVRO-3215,2021-09-22,,35,35
AVRO-3212,2021-09-20,[34],35,35
AVRO-3203,2021-09-12,,35,35
AVRO-3201,2021-09-11,,35,35
AVRO-3186,2021-08-13,[34],35,35
AVRO-3182,2021-08-04,[34],35,35
AVRO-3180,2021-07-29,,35,35
AVRO-3171,2021-07-06,,35,35
AVRO-3165,2021-06-30,[32;33;34],35,35
AVRO-3134,2021-05-08,[34],35,35
AVRO-3133,2021-05-07,[34],,35
AVRO-3124,2021-04-29,,35,35
AVRO-3118,2021-04-23,[34],35,35
AVRO-3114,2021-04-20,[29;34],,35
AVRO-3111,2021-04-15,[33;34],35,35
AVRO-3110,2021-04-12,[34],35,35
AVRO-3104,2021-04-06,[34],35,35
AVRO-3100,2021-03-30,[35],35,35
AVRO-3095,2021-03-25,[34],35,35
AVRO-3094,2021-03-25,[31;34],35,35
AVRO-3092,2021-03-25,,35,35
AVRO-3087,2021-03-18,[34],,35
AVRO-3079,2021-03-17,,35,35
AVRO-3075,2021-03-10,[33],35,34
AVRO-3054,2021-02-23,,35,34
AVRO-3049,2021-02-20,,35,34
AVRO-3048,2021-02-17,[31;33],35,34
AVRO-3044,2021-02-12,[33],34,34
AVRO-3031,2021-01-29,[33],35,34
AVRO-3018,2021-01-01,,,34
AVRO-3017,2021-01-01,,,34
AVRO-3014,2020-12-30,[29;32],34,34
AVRO-3003,2020-12-18,[33],,34
AVRO-2998,2020-12-07,[32],35,34
AVRO-2983,2020-11-20,[32],35,33
AVRO-2944,2020-10-24,[31],33,33
AVRO-2933,2020-09-29,[32;31],35,33
AVRO-2925,2020-08-21,[32],35,33
AVRO-2924,2020-08-20,[32],35,33
AVRO-2923,2020-08-20,[32],35,33
AVRO-2908,2020-08-06,,35,33
AVRO-2907,2020-07-30,[32],35,33
AVRO-2905,2020-07-29,[32],33,33
AVRO-2903,2020-07-22,[31],35,33
AVRO-2898,2020-07-19,[32],34,33
AVRO-2883,2020-07-07,,,33
AVRO-2881,2020-07-04,,35,33
AVRO-2875,2020-06-30,[32],33,33
AVRO-2870,2020-06-24,,,32
AVRO-2867,2020-06-19,,,32
AVRO-2866,2020-06-19,,,32
AVRO-2862,2020-06-08,[31],,32
AVRO-2845,2020-05-24,,32,32
AVRO-2844,2020-05-23,[28;31],,32
AVRO-2837,2020-05-15,[28;31],32,32
AVRO-2836,2020-05-15,[31],32,32
AVRO-2833,2020-05-13,,32,32
AVRO-2829,2020-05-09,,32,32
AVRO-2828,2020-05-09,,32,32
AVRO-2827,2020-05-09,,32,32
AVRO-2817,2020-04-24,[31],33,32
AVRO-2807,2020-04-17,,32,32
AVRO-2800,2020-04-13,,32,32
AVRO-2798,2020-04-13,[31],32,32
AVRO-2792,2020-04-08,,32,32
AVRO-2791,2020-04-07,,32,32
AVRO-2780,2020-03-24,[31],32,32
AVRO-2770,2020-03-03,[31],32,32
AVRO-2768,2020-03-02,[31],32,32
AVRO-2766,2020-03-02,[31],32,32
AVRO-2765,2020-03-01,[31],32,32
AVRO-2761,2020-02-24,[31],32,32
AVRO-2757,2020-02-21,,35,32
AVRO-2747,2020-02-17,[31],32,32
AVRO-2741,2020-02-14,[32;31],32,32
AVRO-2737,2020-02-12,[31],31,31
AVRO-2726,2020-02-06,,31,31
AVRO-2725,2020-02-04,,31,31
AVRO-2722,2020-01-29,[30],,31
AVRO-2720,2020-01-27,,35,31
AVRO-2718,2020-01-24,[30],32,31
AVRO-2716,2020-01-23,[30],32,31
AVRO-2714,2020-01-23,,32,31
AVRO-2702,2020-01-19,[30],33,31
AVRO-2677,2020-01-08,,32,31
AVRO-2675,2020-01-07,,32,31
AVRO-2668,2019-12-30,,32,31
AVRO-2666,2019-12-27,[30],35,31
AVRO-2665,2019-12-27,[32;30],34,31
AVRO-2664,2019-12-26,,31,31
AVRO-2663,2019-12-23,[30],31,31
AVRO-2657,2019-12-16,,,31
AVRO-2648,2019-12-06,,32,31
AVRO-2645,2019-12-02,[30],32,31
AVRO-2644,2019-11-30,,31,31
AVRO-2641,2019-11-27,[26],31,31
AVRO-2633,2019-11-18,[30],35,31
AVRO-2632,2019-11-17,,31,31
AVRO-2631,2019-11-16,,31,31
AVRO-2624,2019-11-13,,32,31
AVRO-2620,2019-11-06,,,31
AVRO-2618,2019-11-05,,31,31
AVRO-2617,2019-11-05,[30],31,31
AVRO-2608,2019-10-28,,32,31
