DATASET;%TRAININGDATA;%DEFECTTRAIN;%DEFECTTEST;CLASSIFIER;TP;FP;TN;FN;PRECISION;RECALL;ROC;KAPPA
AVRO OVERSAMPLED RUN ;0.567849169;0.557448668;0.492842536;CostSensitiveThreshold RandomForest;0;0;248;241;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN ;0.689159018;0.546076314;0.499036609;CostSensitiveThreshold RandomForest;0;0;260;259;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN ;0.817911188;0.53867152;0.435146444;CostSensitiveThreshold RandomForest;0;0;270;208;0;0;0.5;0.00000
AVRO SMOTE RUN ;0.066732821;0.037174721;0.103658537;CostSensitiveLearning RandomForest;0;0;147;17;0;0;0.582633053;0.00000
AVRO SMOTE RUN ;0.066732821;0.037174721;0.103658537;CostSensitiveThreshold RandomForest;0;0;147;17;0;0;0.5;0.00000
AVRO SMOTE RUN ;0.107417514;0.062355658;0.074534161;Random Forest;0;0;149;12;0;0;0.871085011;0.00000
AVRO SMOTE RUN ;0.107417514;0.062355658;0.074534161;CostSensitiveLearning RandomForest;0;0;149;12;0;0;0.82606264;0.00000
AVRO SMOTE RUN ;0.107417514;0.062355658;0.074534161;CostSensitiveThreshold RandomForest;0;0;149;12;0;0;0.5;0.00000
AVRO SMOTE RUN ;0.147357976;0.065656566;0.128654971;CostSensitiveLearning RandomForest;0;0;149;22;0;0;0.920225747;0.00000
AVRO SMOTE RUN ;0.147357976;0.065656566;0.128654971;CostSensitiveThreshold RandomForest;0;0;149;22;0;0;0.5;0.00000
AVRO SMOTE RUN ;0.356983379;0.084781098;0.066176471;CostSensitiveLearning RandomForest;0;0;254;18;0;0;0.826881015;0.00000
AVRO SMOTE RUN ;0.356983379;0.084781098;0.066176471;CostSensitiveThreshold RandomForest;0;0;254;18;0;0;0.5;0.00000
AVRO SMOTE RUN ;0.424460432;0.081823495;0.064516129;CostSensitiveLearning RandomForest;0;0;261;18;0;0;0.932205194;0.00000
AVRO SMOTE RUN ;0.424460432;0.081823495;0.064516129;CostSensitiveThreshold RandomForest;0;0;261;18;0;0;0.5;0.00000
BOOK RUN ;0.800488103;0.125381098;0.025993884;CostSensitiveLearning RandomForest;0;0;637;17;0;0;0.987025579;0.00000
BOOK RUN ;0.800488103;0.125381098;0.025993884;CostSensitiveThreshold RandomForest;0;0;637;17;0;0;0.5;0.00000
BOOK UNDERSAMPLED RUN ;0.18395363;0.545605307;0.191011236;CostSensitiveLearning RandomForest;0;0;72;17;0;0;0.910539216;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;Random Forest;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;NaiveBayes;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;IBK;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;CostSensitiveLearning RandomForest;0;0;147;9;0;0;0.5;0.00000
