BOOKKEEPER-766,2014-06-03,,7,8
BOOKKEEPER-765,2014-06-03,,7,8
BOOKKEEPER-763,2014-05-29,,7,8
BOOKKEEPER-755,2014-05-08,,7,8
BOOKKEEPER-752,2014-05-07,[6],7,8
BOOKKEEPER-751,2014-05-07,,7,8
BOOKKEEPER-750,2014-04-29,,7,8
BOOKKEEPER-746,2014-04-04,,7,8
BOOKKEEPER-745,2014-04-04,,7,8
BOOKKEEPER-744,2014-04-04,,7,8
BOOKKEEPER-743,2014-04-04,,7,8
BOOKKEEPER-742,2014-04-04,,7,8
BOOKKEEPER-740,2014-03-07,,7,8
BOOKKEEPER-739,2014-03-04,,7,8
BOOKKEEPER-731,2014-02-06,,7,8
BOOKKEEPER-730,2014-02-06,,7,8
BOOKKEEPER-729,2014-02-04,,7,8
BOOKKEEPER-728,2014-02-04,,7,8
BOOKKEEPER-727,2014-02-04,,7,8
BOOKKEEPER-726,2014-02-04,,7,8
BOOKKEEPER-725,2014-02-04,,7,8
BOOKKEEPER-724,2014-02-02,,7,7
BOOKKEEPER-720,2014-01-21,,7,7
BOOKKEEPER-719,2014-01-21,,7,7
BOOKKEEPER-714,2013-12-31,,7,7
BOOKKEEPER-712,2013-12-05,[5],7,7
BOOKKEEPER-711,2013-12-03,[6],7,7
BOOKKEEPER-710,2013-11-23,,7,7
BOOKKEEPER-709,2013-11-23,,7,7
BOOKKEEPER-708,2013-11-10,,7,7
BOOKKEEPER-700,2013-10-30,,7,7
BOOKKEEPER-698,2013-10-29,,7,7
BOOKKEEPER-695,2013-10-16,[7],1,7
BOOKKEEPER-689,2013-10-04,,,6
BOOKKEEPER-688,2013-10-04,[4],7,6
BOOKKEEPER-686,2013-09-29,[4],7,6
BOOKKEEPER-685,2013-09-13,,6,6
BOOKKEEPER-684,2013-09-13,,6,6
BOOKKEEPER-683,2013-09-12,,6,6
BOOKKEEPER-680,2009-04-01,,,1
BOOKKEEPER-679,2013-09-04,,6,6
BOOKKEEPER-678,2013-09-01,,7,6
BOOKKEEPER-676,2013-08-23,,7,6
BOOKKEEPER-673,2013-08-21,,7,6
BOOKKEEPER-671,2013-08-13,[5],,6
BOOKKEEPER-669,2013-08-08,,6,6
BOOKKEEPER-668,2013-08-06,[5;7],6,6
BOOKKEEPER-667,2013-08-06,[5],6,6
BOOKKEEPER-664,2013-07-29,[5],6,6
BOOKKEEPER-663,2013-07-26,,6,6
BOOKKEEPER-660,2013-07-24,[4],6,6
BOOKKEEPER-654,2013-07-21,[4],7,6
BOOKKEEPER-652,2013-07-20,,6,6
BOOKKEEPER-649,2013-07-16,,6,6
BOOKKEEPER-646,2013-07-08,[5],6,6
BOOKKEEPER-642,2013-07-05,,6,6
BOOKKEEPER-641,2013-07-02,[5],7,6
BOOKKEEPER-638,2013-06-28,[7],7,6
BOOKKEEPER-636,2013-06-26,[5;7],6,6
BOOKKEEPER-635,2013-06-26,,6,6
BOOKKEEPER-633,2013-06-25,[7],7,6
BOOKKEEPER-632,2013-06-20,[5;7],6,6
BOOKKEEPER-626,2013-06-14,[5;7],6,6
BOOKKEEPER-625,2013-06-14,[5],6,6
BOOKKEEPER-624,2013-06-12,[5],6,6
BOOKKEEPER-623,2013-06-12,[5;7],6,6
BOOKKEEPER-621,2013-06-07,[5],6,6
BOOKKEEPER-620,2013-06-07,,6,6
BOOKKEEPER-619,2013-06-06,[5],6,6
BOOKKEEPER-617,2013-06-03,,7,6
BOOKKEEPER-610,2013-05-10,,7,6
BOOKKEEPER-607,2013-04-22,[4;5],6,6
BOOKKEEPER-604,2013-04-08,,6,6
BOOKKEEPER-603,2013-04-08,[4;5],6,6
BOOKKEEPER-602,2013-04-05,[4;5],7,6
BOOKKEEPER-601,2013-04-05,[4;5],6,6
BOOKKEEPER-600,2013-04-05,[4;5],6,6
BOOKKEEPER-599,2013-04-05,[4;5],7,6
BOOKKEEPER-598,2013-04-04,[5],6,6
BOOKKEEPER-597,2013-04-02,,7,6
BOOKKEEPER-596,2013-03-28,[4;5],6,6
BOOKKEEPER-594,2013-03-26,,11,5
BOOKKEEPER-586,2013-03-20,,7,5
BOOKKEEPER-585,2013-03-14,,6,5
BOOKKEEPER-584,2013-03-12,[4],6,5
BOOKKEEPER-583,2013-03-07,[5],6,5
BOOKKEEPER-581,2013-03-05,[4;5],6,5
BOOKKEEPER-580,2013-02-27,,6,5
BOOKKEEPER-579,2013-02-27,,6,5
BOOKKEEPER-578,2013-02-27,,11,5
BOOKKEEPER-577,2013-02-26,,6,5
BOOKKEEPER-569,2013-02-13,,5,5
BOOKKEEPER-568,2013-02-11,[4],5,5
BOOKKEEPER-567,2013-02-09,,5,5
BOOKKEEPER-561,2013-02-05,,7,5
BOOKKEEPER-559,2013-01-28,[4],6,5
BOOKKEEPER-557,2013-01-24,,7,5
BOOKKEEPER-556,2013-01-24,,6,5
BOOKKEEPER-554,2013-01-20,[4],5,5
BOOKKEEPER-549,2013-01-16,,5,3
BOOKKEEPER-548,2013-01-16,,5,3
BOOKKEEPER-544,2013-01-11,,7,3
BOOKKEEPER-543,2013-01-10,[2],4,3
BOOKKEEPER-539,2013-01-09,,4,3
BOOKKEEPER-538,2013-01-08,,4,3
BOOKKEEPER-534,2013-01-05,,4,3
BOOKKEEPER-533,2013-01-05,,4,3
BOOKKEEPER-532,2013-01-05,,4,3
BOOKKEEPER-531,2013-01-05,,4,3
BOOKKEEPER-530,2012-12-29,[2],4,3
BOOKKEEPER-524,2012-12-21,[4],4,3
BOOKKEEPER-522,2012-12-20,,4,3
BOOKKEEPER-520,2012-12-18,,4,3
BOOKKEEPER-514,2012-12-14,,4,3
BOOKKEEPER-513,2012-12-14,,4,3
BOOKKEEPER-512,2012-12-14,,4,3
BOOKKEEPER-511,2012-12-14,,4,3
BOOKKEEPER-509,2012-12-14,,4,3
BOOKKEEPER-507,2012-12-14,,4,3
BOOKKEEPER-504,2012-12-13,,4,3
BOOKKEEPER-503,2012-12-13,,4,3
BOOKKEEPER-500,2012-12-11,[2;4],4,3
BOOKKEEPER-498,2012-12-10,,4,3
BOOKKEEPER-497,2012-12-10,,4,3
BOOKKEEPER-493,2012-12-06,,4,3
BOOKKEEPER-485,2012-11-27,,4,3
BOOKKEEPER-484,2012-11-27,,4,3
BOOKKEEPER-483,2012-11-27,,4,3
BOOKKEEPER-482,2012-11-27,,4,3
BOOKKEEPER-481,2012-11-27,,4,3
BOOKKEEPER-480,2012-11-27,,4,3
BOOKKEEPER-479,2012-11-27,,4,3
BOOKKEEPER-477,2012-11-23,,4,3
